year,agency,n_resp,wt_sum,eei,eei_leaders,eei_supervisors,eei_intrinsic,gsi,pci,exi,pp_recommend,pp_job_sat,pp_pay_sat,pp_org_sat,pp_encouraged,pp_workload,pp_skills,pp_perf_diff,pp_sat_recog,pp_recog_quality,leave_no,leave_other,leave_within,leave_outside,leave_any,leave_n_valid,leave_missing_pct,leave2020pre_other,leave2020pre_within,leave2020pre_outside
2019,AF,31348,125690.6,69.51,60.75,75.12,72.66,63.77,,,64.76,67.85,62.07,60.42,65.8,63.01,68.67,40.38,53.55,56.48,57.25,10.8,27.76,4.19,42.75,28473,9.17,,,
2019,AG,36529,71888.1,64.69,48.53,75.51,70.03,59.66,,,60.57,65.54,59.65,52.86,57.69,48.7,63.74,32.66,48.06,45.08,65.62,12.85,15.51,6.02,34.38,34401,5.83,,,
2019,ALL,615395,1394911.6,68.48,57.09,76.22,72.14,64.92,,,66.76,68.61,63.33,61.0,61.81,59.23,67.23,39.2,53.41,54.36,64.91,10.48,20.32,4.3,35.09,575561,6.47,,,
2019,AM,2010,3291.5,70.65,59.63,79.13,73.17,66.37,,,71.4,66.93,63.19,63.95,67.32,44.82,73.97,41.89,52.03,60.22,67.92,10.76,12.77,8.56,32.08,1929,4.03,,,
2019,AR,85639,186946.0,69.82,59.17,75.85,74.44,66.36,,,67.84,70.34,64.91,62.34,66.22,61.75,69.08,39.82,53.13,55.6,60.29,10.89,25.66,3.16,39.71,81258,5.12,,,
2019,BG,585,846.8,79.66,73.54,83.31,82.14,78.43,,,84.05,80.24,67.27,82.17,76.96,76.3,78.81,49.99,68.41,70.32,75.0,8.58,14.19,2.23,25.0,553,5.47,,,
2019,BO,335,419.6,71.94,52.25,84.47,79.09,75.35,,,81.4,78.44,69.67,71.9,77.35,57.83,82.24,53.03,68.83,74.61,65.34,7.18,17.24,10.23,34.66,326,2.69,,,
2019,CM,19847,36299.9,72.62,61.54,81.4,74.9,71.06,,,74.6,73.54,68.12,67.99,61.88,54.34,72.88,47.46,59.0,61.21,75.94,8.47,11.26,4.33,24.06,19019,4.17,,,
2019,CT,411,632.5,65.64,51.96,78.45,66.52,61.68,,,65.66,62.61,58.92,59.54,56.3,61.68,59.07,22.87,47.64,44.41,68.0,8.47,14.92,8.61,32.0,379,7.79,,,
2019,CU,891,1057.7,68.68,57.0,78.6,70.45,71.57,,,75.25,72.73,71.01,67.29,54.26,57.05,73.74,42.8,52.06,54.23,77.01,7.49,11.4,4.1,22.99,855,4.04,,,
