measure,node,period_start,value,n,source_ref
fevs_engagement,AF0J,2019-01-01,69.8,3189,fevs:2019-prdf-level1
fevs_leave_any,AF0J,2019-01-01,39.1,3189,fevs:2019-prdf-level1
fevs_leave_other,AF0J,2019-01-01,11.9,3189,fevs:2019-prdf-level1
fevs_leave_outside,AF0J,2019-01-01,2.9,3189,fevs:2019-prdf-level1
fevs_leave_within,AF0J,2019-01-01,24.3,3189,fevs:2019-prdf-level1
fevs_engagement,AF0R,2019-01-01,70.1,804,fevs:2019-prdf-level1
fevs_leave_any,AF0R,2019-01-01,47.3,804,fevs:2019-prdf-level1
fevs_leave_other,AF0R,2019-01-01,13.1,804,fevs:2019-prdf-level1
fevs_leave_outside,AF0R,2019-01-01,2.7,804,fevs:2019-prdf-level1
fevs_leave_within,AF0R,2019-01-01,31.5,804,fevs:2019-prdf-level1
fevs_engagement,AF13,2019-01-01,74.0,574,fevs:2019-prdf-level1
fevs_leave_any,AF13,2019-01-01,47.7,574,fevs:2019-prdf-level1
fevs_leave_other,AF13,2019-01-01,13.4,574,fevs:2019-prdf-level1
fevs_leave_outside,AF13,2019-01-01,3.7,574,fevs:2019-prdf-level1
fevs_leave_within,AF13,2019-01-01,30.5,574,fevs:2019-prdf-level1
fevs_engagement,AF1C,2019-01-01,73.6,2961,fevs:2019-prdf-level1
fevs_leave_any,AF1C,2019-01-01,39.0,2961,fevs:2019-prdf-level1
fevs_leave_other,AF1C,2019-01-01,11.4,2961,fevs:2019-prdf-level1
fevs_leave_outside,AF1C,2019-01-01,3.1,2961,fevs:2019-prdf-level1
fevs_leave_within,AF1C,2019-01-01,24.6,2961,fevs:2019-prdf-level1
fevs_engagement,AF1L,2019-01-01,73.5,1871,fevs:2019-prdf-level1
fevs_leave_any,AF1L,2019-01-01,38.2,1871,fevs:2019-prdf-level1
fevs_leave_other,AF1L,2019-01-01,12.3,1871,fevs:2019-prdf-level1
fevs_leave_outside,AF1L,2019-01-01,3.0,1871,fevs:2019-prdf-level1
fevs_leave_within,AF1L,2019-01-01,22.9,1871,fevs:2019-prdf-level1
fevs_engagement,AF1M,2019-01-01,67.4,11909,fevs:2019-prdf-level1
fevs_leave_any,AF1M,2019-01-01,43.8,11909,fevs:2019-prdf-level1
fevs_leave_other,AF1M,2019-01-01,9.7,11909,fevs:2019-prdf-level1
fevs_leave_outside,AF1M,2019-01-01,4.8,11909,fevs:2019-prdf-level1
fevs_leave_within,AF1M,2019-01-01,29.4,11909,fevs:2019-prdf-level1
fevs_engagement,AF1Y,2019-01-01,79.5,614,fevs:2019-prdf-level1
fevs_leave_any,AF1Y,2019-01-01,33.0,614,fevs:2019-prdf-level1
fevs_leave_other,AF1Y,2019-01-01,7.0,614,fevs:2019-prdf-level1
fevs_leave_outside,AF1Y,2019-01-01,3.5,614,fevs:2019-prdf-level1
fevs_leave_within,AF1Y,2019-01-01,22.5,614,fevs:2019-prdf-level1
fevs_engagement,AG07,2019-01-01,63.2,2308,fevs:2019-prdf-level1
fevs_leave_any,AG07,2019-01-01,38.8,2308,fevs:2019-prdf-level1
fevs_leave_other,AG07,2019-01-01,14.2,2308,fevs:2019-prdf-level1
fevs_leave_outside,AG07,2019-01-01,5.1,2308,fevs:2019-prdf-level1
fevs_leave_within,AG07,2019-01-01,19.4,2308,fevs:2019-prdf-level1
fevs_engagement,AG37,2019-01-01,67.9,1420,fevs:2019-prdf-level1
fevs_leave_any,AG37,2019-01-01,39.3,1420,fevs:2019-prdf-level1
fevs_leave_other,AG37,2019-01-01,10.0,1420,fevs:2019-prdf-level1
fevs_leave_outside,AG37,2019-01-01,4.4,1420,fevs:2019-prdf-level1
fevs_leave_within,AG37,2019-01-01,25.0,1420,fevs:2019-prdf-level1
fevs_engagement,AGDA,2019-01-01,66.9,630,fevs:2019-prdf-level1
fevs_leave_any,AGDA,2019-01-01,43.5,630,fevs:2019-prdf-level1
fevs_leave_other,AGDA,2019-01-01,10.6,630,fevs:2019-prdf-level1
fevs_leave_outside,AGDA,2019-01-01,4.9,630,fevs:2019-prdf-level1
fevs_leave_within,AGDA,2019-01-01,28.0,630,fevs:2019-prdf-level1
fevs_engagement,AR2A,2019-01-01,66.1,1589,fevs:2019-prdf-level1
fevs_leave_any,AR2A,2019-01-01,50.4,1589,fevs:2019-prdf-level1
fevs_leave_other,AR2A,2019-01-01,9.6,1589,fevs:2019-prdf-level1
fevs_leave_outside,AR2A,2019-01-01,3.0,1589,fevs:2019-prdf-level1
fevs_leave_within,AR2A,2019-01-01,37.8,1589,fevs:2019-prdf-level1
fevs_engagement,ARAE,2019-01-01,75.2,1594,fevs:2019-prdf-level1
fevs_leave_any,ARAE,2019-01-01,40.0,1594,fevs:2019-prdf-level1
fevs_leave_other,ARAE,2019-01-01,10.1,1594,fevs:2019-prdf-level1
fevs_leave_outside,ARAE,2019-01-01,3.2,1594,fevs:2019-prdf-level1
fevs_leave_within,ARAE,2019-01-01,26.6,1594,fevs:2019-prdf-level1
fevs_engagement,ARAF,2019-01-01,72.2,6729,fevs:2019-prdf-level1
fevs_leave_any,ARAF,2019-01-01,29.3,6729,fevs:2019-prdf-level1
fevs_leave_other,ARAF,2019-01-01,9.0,6729,fevs:2019-prdf-level1
fevs_leave_outside,ARAF,2019-01-01,4.3,6729,fevs:2019-prdf-level1
fevs_leave_within,ARAF,2019-01-01,16.0,6729,fevs:2019-prdf-level1
fevs_engagement,ARAP,2019-01-01,71.9,548,fevs:2019-prdf-level1
fevs_leave_any,ARAP,2019-01-01,48.2,548,fevs:2019-prdf-level1
fevs_leave_other,ARAP,2019-01-01,16.9,548,fevs:2019-prdf-level1
fevs_leave_outside,ARAP,2019-01-01,3.0,548,fevs:2019-prdf-level1
fevs_leave_within,ARAP,2019-01-01,28.4,548,fevs:2019-prdf-level1
fevs_engagement,ARAT,2019-01-01,70.8,2386,fevs:2019-prdf-level1
fevs_leave_any,ARAT,2019-01-01,38.7,2386,fevs:2019-prdf-level1
fevs_leave_other,ARAT,2019-01-01,10.4,2386,fevs:2019-prdf-level1
fevs_leave_outside,ARAT,2019-01-01,2.6,2386,fevs:2019-prdf-level1
fevs_leave_within,ARAT,2019-01-01,25.7,2386,fevs:2019-prdf-level1
fevs_engagement,ARCE,2019-01-01,74.0,20826,fevs:2019-prdf-level1
fevs_leave_any,ARCE,2019-01-01,29.0,20826,fevs:2019-prdf-level1
fevs_leave_other,ARCE,2019-01-01,9.5,20826,fevs:2019-prdf-level1
fevs_leave_outside,ARCE,2019-01-01,3.0,20826,fevs:2019-prdf-level1
fevs_leave_within,ARCE,2019-01-01,16.6,20826,fevs:2019-prdf-level1
fevs_engagement,ARCH,2019-01-01,72.3,1265,fevs:2019-prdf-level1
fevs_leave_any,ARCH,2019-01-01,38.1,1265,fevs:2019-prdf-level1
fevs_leave_other,ARCH,2019-01-01,7.6,1265,fevs:2019-prdf-level1
fevs_leave_outside,ARCH,2019-01-01,1.6,1265,fevs:2019-prdf-level1
fevs_leave_within,ARCH,2019-01-01,28.9,1265,fevs:2019-prdf-level1
fevs_engagement,ARE1,2019-01-01,69.6,484,fevs:2019-prdf-level1
fevs_leave_any,ARE1,2019-01-01,49.0,484,fevs:2019-prdf-level1
fevs_leave_other,ARE1,2019-01-01,11.5,484,fevs:2019-prdf-level1
fevs_leave_outside,ARE1,2019-01-01,3.7,484,fevs:2019-prdf-level1
fevs_leave_within,ARE1,2019-01-01,33.8,484,fevs:2019-prdf-level1
fevs_engagement,ARFC,2019-01-01,76.4,913,fevs:2019-prdf-level1
fevs_leave_any,ARFC,2019-01-01,41.6,913,fevs:2019-prdf-level1
fevs_leave_other,ARFC,2019-01-01,12.3,913,fevs:2019-prdf-level1
fevs_leave_outside,ARFC,2019-01-01,1.9,913,fevs:2019-prdf-level1
fevs_leave_within,ARFC,2019-01-01,27.5,913,fevs:2019-prdf-level1
fevs_engagement,ARHC,2019-01-01,70.6,614,fevs:2019-prdf-level1
fevs_leave_any,ARHC,2019-01-01,44.9,614,fevs:2019-prdf-level1
fevs_leave_other,ARHC,2019-01-01,12.4,614,fevs:2019-prdf-level1
fevs_leave_outside,ARHC,2019-01-01,2.3,614,fevs:2019-prdf-level1
fevs_leave_within,ARHC,2019-01-01,30.2,614,fevs:2019-prdf-level1
fevs_engagement,ARHR,2019-01-01,71.4,2807,fevs:2019-prdf-level1
fevs_leave_any,ARHR,2019-01-01,48.9,2807,fevs:2019-prdf-level1
fevs_leave_other,ARHR,2019-01-01,11.5,2807,fevs:2019-prdf-level1
fevs_leave_outside,ARHR,2019-01-01,3.2,2807,fevs:2019-prdf-level1
fevs_leave_within,ARHR,2019-01-01,34.1,2807,fevs:2019-prdf-level1
fevs_engagement,ARJA,2019-01-01,71.7,579,fevs:2019-prdf-level1
fevs_leave_any,ARJA,2019-01-01,48.7,579,fevs:2019-prdf-level1
fevs_leave_other,ARJA,2019-01-01,9.0,579,fevs:2019-prdf-level1
fevs_leave_outside,ARJA,2019-01-01,3.1,579,fevs:2019-prdf-level1
fevs_leave_within,ARJA,2019-01-01,36.6,579,fevs:2019-prdf-level1
fevs_engagement,ARMC,2019-01-01,64.9,10018,fevs:2019-prdf-level1
fevs_leave_any,ARMC,2019-01-01,44.2,10018,fevs:2019-prdf-level1
fevs_leave_other,ARMC,2019-01-01,13.4,10018,fevs:2019-prdf-level1
fevs_leave_outside,ARMC,2019-01-01,4.4,10018,fevs:2019-prdf-level1
fevs_leave_within,ARMC,2019-01-01,26.4,10018,fevs:2019-prdf-level1
fevs_engagement,ARP1,2019-01-01,72.7,606,fevs:2019-prdf-level1
fevs_leave_any,ARP1,2019-01-01,47.3,606,fevs:2019-prdf-level1
fevs_leave_other,ARP1,2019-01-01,9.9,606,fevs:2019-prdf-level1
fevs_leave_outside,ARP1,2019-01-01,2.1,606,fevs:2019-prdf-level1
fevs_leave_within,ARP1,2019-01-01,35.3,606,fevs:2019-prdf-level1
fevs_engagement,ARSP,2019-01-01,81.8,648,fevs:2019-prdf-level1
fevs_leave_any,ARSP,2019-01-01,31.5,648,fevs:2019-prdf-level1
fevs_leave_other,ARSP,2019-01-01,8.7,648,fevs:2019-prdf-level1
fevs_leave_outside,ARSP,2019-01-01,3.2,648,fevs:2019-prdf-level1
fevs_leave_within,ARSP,2019-01-01,19.6,648,fevs:2019-prdf-level1
fevs_engagement,ARTC,2019-01-01,73.5,5059,fevs:2019-prdf-level1
