measure,node,period_start,value,n,source_ref
osha_lost_time_case_rate,AF,2003-10-01,1.52,154574,osha:fy2004
osha_lost_time_case_rate,AG,2003-10-01,1.5,106186,osha:fy2004
osha_lost_time_case_rate,AR,2003-10-01,1.67,232492,osha:fy2004
osha_lost_time_case_rate,CM,2003-10-01,0.6,37641,osha:fy2004
osha_lost_time_case_rate,DJ,2003-10-01,1.94,103536,osha:fy2004
osha_lost_time_case_rate,DL,2003-10-01,1.13,16095,osha:fy2004
osha_lost_time_case_rate,DN,2003-10-01,0.73,15265,osha:fy2004
osha_lost_time_case_rate,ED,2003-10-01,0.6,4482,osha:fy2004
osha_lost_time_case_rate,EP,2003-10-01,0.46,17975,osha:fy2004
osha_lost_time_case_rate,GS,2003-10-01,0.8,12764,osha:fy2004
osha_lost_time_case_rate,HE,2003-10-01,0.88,61495,osha:fy2004
osha_lost_time_case_rate,HS,2003-10-01,6.83,148927,osha:fy2004
osha_lost_time_case_rate,HU,2003-10-01,0.54,10411,osha:fy2004
osha_lost_time_case_rate,IN,2003-10-01,2.64,74500,osha:fy2004
osha_lost_time_case_rate,NF,2003-10-01,0.3,1327,osha:fy2004
osha_lost_time_case_rate,NN,2003-10-01,0.18,19105,osha:fy2004
osha_lost_time_case_rate,NQ,2003-10-01,1.58,3029,osha:fy2004
osha_lost_time_case_rate,NU,2003-10-01,0.48,3124,osha:fy2004
osha_lost_time_case_rate,NV,2003-10-01,1.9,182004,osha:fy2004
osha_lost_time_case_rate,OM,2003-10-01,0.53,3409,osha:fy2004
osha_lost_time_case_rate,SB,2003-10-01,0.77,3520,osha:fy2004
osha_lost_time_case_rate,ST,2003-10-01,0.45,33013,osha:fy2004
osha_lost_time_case_rate,SZ,2003-10-01,1.06,65215,osha:fy2004
osha_lost_time_case_rate,TD,2003-10-01,1.54,57748,osha:fy2004
osha_lost_time_case_rate,TR,2003-10-01,1.11,117344,osha:fy2004
osha_lost_time_case_rate,VA,2003-10-01,2.17,233501,osha:fy2004
osha_total_case_rate,AF,2003-10-01,3.34,154574,osha:fy2004
osha_total_case_rate,AG,2003-10-01,3.48,106186,osha:fy2004
osha_total_case_rate,AR,2003-10-01,3.25,232492,osha:fy2004
osha_total_case_rate,CM,2003-10-01,1.39,37641,osha:fy2004
osha_total_case_rate,DJ,2003-10-01,5.55,103536,osha:fy2004
osha_total_case_rate,DL,2003-10-01,2.35,16095,osha:fy2004
osha_total_case_rate,DN,2003-10-01,2.37,15265,osha:fy2004
osha_total_case_rate,ED,2003-10-01,1.16,4482,osha:fy2004
osha_total_case_rate,EP,2003-10-01,0.91,17975,osha:fy2004
osha_total_case_rate,GS,2003-10-01,1.63,12764,osha:fy2004
osha_total_case_rate,HE,2003-10-01,2.01,61495,osha:fy2004
osha_total_case_rate,HS,2003-10-01,16.64,148927,osha:fy2004
osha_total_case_rate,HU,2003-10-01,1.0,10411,osha:fy2004
osha_total_case_rate,IN,2003-10-01,6.94,74500,osha:fy2004
osha_total_case_rate,NF,2003-10-01,0.53,1327,osha:fy2004
osha_total_case_rate,NN,2003-10-01,0.61,19105,osha:fy2004
osha_total_case_rate,NQ,2003-10-01,3.33,3029,osha:fy2004
osha_total_case_rate,NU,2003-10-01,0.8,3124,osha:fy2004
osha_total_case_rate,NV,2003-10-01,3.59,182004,osha:fy2004
osha_total_case_rate,OM,2003-10-01,1.0,3409,osha:fy2004
osha_total_case_rate,SB,2003-10-01,1.62,3520,osha:fy2004
osha_total_case_rate,ST,2003-10-01,1.01,33013,osha:fy2004
osha_total_case_rate,SZ,2003-10-01,1.9,65215,osha:fy2004
osha_total_case_rate,TD,2003-10-01,2.39,57748,osha:fy2004
osha_total_case_rate,TR,2003-10-01,1.65,117344,osha:fy2004
osha_total_case_rate,VA,2003-10-01,4.64,233501,osha:fy2004
osha_lost_time_case_rate,AF,2004-10-01,1.55,153647,osha:fy2005
osha_lost_time_case_rate,AG,2004-10-01,1.56,103775,osha:fy2005
osha_lost_time_case_rate,AR,2004-10-01,1.81,237581,osha:fy2005
osha_lost_time_case_rate,CM,2004-10-01,0.57,37603,osha:fy2005
osha_lost_time_case_rate,DJ,2004-10-01,2.05,103284,osha:fy2005
osha_lost_time_case_rate,DL,2004-10-01,1.03,16176,osha:fy2005
osha_lost_time_case_rate,DN,2004-10-01,0.73,15281,osha:fy2005
osha_lost_time_case_rate,ED,2004-10-01,0.51,4478,osha:fy2005
osha_lost_time_case_rate,EP,2004-10-01,0.41,17961,osha:fy2005
osha_lost_time_case_rate,GS,2004-10-01,0.97,12741,osha:fy2005
osha_lost_time_case_rate,HE,2004-10-01,0.9,61645,osha:fy2005
osha_lost_time_case_rate,HS,2004-10-01,6.16,148538,osha:fy2005
osha_lost_time_case_rate,HU,2004-10-01,0.57,10418,osha:fy2005
osha_lost_time_case_rate,IN,2004-10-01,2.85,72931,osha:fy2005
osha_lost_time_case_rate,NF,2004-10-01,0.23,1327,osha:fy2005
osha_lost_time_case_rate,NN,2004-10-01,0.18,19049,osha:fy2005
osha_lost_time_case_rate,NQ,2004-10-01,2.45,3023,osha:fy2005
osha_lost_time_case_rate,NU,2004-10-01,0.39,3107,osha:fy2005
osha_lost_time_case_rate,NV,2004-10-01,1.76,182315,osha:fy2005
osha_lost_time_case_rate,OM,2004-10-01,0.85,3400,osha:fy2005
osha_lost_time_case_rate,SB,2004-10-01,0.95,3485,osha:fy2005
osha_lost_time_case_rate,ST,2004-10-01,0.46,32845,osha:fy2005
osha_lost_time_case_rate,SZ,2004-10-01,1.04,65228,osha:fy2005
osha_lost_time_case_rate,TD,2004-10-01,1.35,57921,osha:fy2005
osha_lost_time_case_rate,TR,2004-10-01,0.92,119054,osha:fy2005
osha_lost_time_case_rate,VA,2004-10-01,2.15,232621,osha:fy2005
osha_total_case_rate,AF,2004-10-01,3.09,153647,osha:fy2005
osha_total_case_rate,AG,2004-10-01,3.65,103775,osha:fy2005
osha_total_case_rate,AR,2004-10-01,3.67,237581,osha:fy2005
osha_total_case_rate,CM,2004-10-01,1.23,37603,osha:fy2005
osha_total_case_rate,DJ,2004-10-01,4.93,103284,osha:fy2005
osha_total_case_rate,DL,2004-10-01,2.23,16176,osha:fy2005
osha_total_case_rate,DN,2004-10-01,1.96,15281,osha:fy2005
osha_total_case_rate,ED,2004-10-01,1.05,4478,osha:fy2005
osha_total_case_rate,EP,2004-10-01,0.77,17961,osha:fy2005
osha_total_case_rate,GS,2004-10-01,1.51,12741,osha:fy2005
osha_total_case_rate,HE,2004-10-01,1.9,61645,osha:fy2005
osha_total_case_rate,HS,2004-10-01,14.02,148538,osha:fy2005
osha_total_case_rate,HU,2004-10-01,1.12,10418,osha:fy2005
osha_total_case_rate,IN,2004-10-01,6.7,72931,osha:fy2005
osha_total_case_rate,NF,2004-10-01,0.38,1327,osha:fy2005
osha_total_case_rate,NN,2004-10-01,0.49,19049,osha:fy2005
osha_total_case_rate,NQ,2004-10-01,4.63,3023,osha:fy2005
osha_total_case_rate,NU,2004-10-01,0.74,3107,osha:fy2005
osha_total_case_rate,NV,2004-10-01,3.23,182315,osha:fy2005
osha_total_case_rate,OM,2004-10-01,1.65,3400,osha:fy2005
osha_total_case_rate,SB,2004-10-01,1.92,3485,osha:fy2005
osha_total_case_rate,ST,2004-10-01,1.04,32845,osha:fy2005
osha_total_case_rate,SZ,2004-10-01,1.72,65228,osha:fy2005
osha_total_case_rate,TD,2004-10-01,2.13,57921,osha:fy2005
osha_total_case_rate,TR,2004-10-01,1.44,119054,osha:fy2005
osha_total_case_rate,VA,2004-10-01,4.62,232621,osha:fy2005
osha_lost_time_case_rate,AF,2005-10-01,1.41,158910,osha:fy2006
osha_lost_time_case_rate,AG,2005-10-01,1.63,99940,osha:fy2006
osha_lost_time_case_rate,AR,2005-10-01,1.66,244342,osha:fy2006
osha_lost_time_case_rate,CM,2005-10-01,0.57,40292,osha:fy2006
osha_lost_time_case_rate,DJ,2005-10-01,2.09,106020,osha:fy2006
osha_lost_time_case_rate,DL,2005-10-01,0.76,15361,osha:fy2006
osha_lost_time_case_rate,DN,2005-10-01,0.86,14844,osha:fy2006
osha_lost_time_case_rate,ED,2005-10-01,0.4,4262,osha:fy2006
osha_lost_time_case_rate,EP,2005-10-01,0.36,18143,osha:fy2006
osha_lost_time_case_rate,GS,2005-10-01,0.85,12518,osha:fy2006
osha_lost_time_case_rate,HE,2005-10-01,0.84,60681,osha:fy2006
osha_lost_time_case_rate,HU,2005-10-01,0.52,9754,osha:fy2006
osha_lost_time_case_rate,IN,2005-10-01,2.64,70329,osha:fy2006
osha_lost_time_case_rate,NF,2005-10-01,0.61,1319,osha:fy2006
osha_lost_time_case_rate,NN,2005-10-01,0.2,18447,osha:fy2006
osha_lost_time_case_rate,NQ,2005-10-01,2.59,3049,osha:fy2006
osha_lost_time_case_rate,NU,2005-10-01,0.31,3261,osha:fy2006
osha_lost_time_case_rate,NV,2005-10-01,1.75,176391,osha:fy2006
osha_lost_time_case_rate,NV,2005-10-01,1.51,161004,osha:fy2006
osha_lost_time_case_rate,OM,2005-10-01,0.77,4945,osha:fy2006
osha_lost_time_case_rate,SB,2005-10-01,0.7,6187,osha:fy2006
osha_lost_time_case_rate,ST,2005-10-01,0.54,33910,osha:fy2006
osha_lost_time_case_rate,SZ,2005-10-01,0.92,64943,osha:fy2006
osha_lost_time_case_rate,TD,2005-10-01,1.24,53579,osha:fy2006
osha_lost_time_case_rate,TR,2005-10-01,0.8,113666,osha:fy2006
osha_total_case_rate,AF,2005-10-01,2.8,158910,osha:fy2006
osha_total_case_rate,AG,2005-10-01,3.67,99940,osha:fy2006
osha_total_case_rate,AR,2005-10-01,3.37,244342,osha:fy2006
osha_total_case_rate,CM,2005-10-01,1.17,40292,osha:fy2006
osha_total_case_rate,DJ,2005-10-01,4.71,106020,osha:fy2006
osha_total_case_rate,DL,2005-10-01,1.98,15361,osha:fy2006
osha_total_case_rate,DN,2005-10-01,2.03,14844,osha:fy2006
osha_total_case_rate,ED,2005-10-01,0.8,4262,osha:fy2006
osha_total_case_rate,EP,2005-10-01,0.73,18143,osha:fy2006
