measure,node,period_start,value,source_ref
va_aes_accomplishment,VA,2018-01-01,75.8,va-aes:2018
va_aes_accomplishment,VALA,2018-01-01,71.7,va-aes:2018
va_aes_accomplishment,VAPA,2018-01-01,82.8,va-aes:2018
va_aes_accomplishment,VATA,2018-01-01,76.0,va-aes:2018
va_aes_encouraged,VA,2018-01-01,63.0,va-aes:2018
va_aes_encouraged,VALA,2018-01-01,49.5,va-aes:2018
va_aes_encouraged,VAPA,2018-01-01,68.7,va-aes:2018
va_aes_encouraged,VATA,2018-01-01,64.6,va-aes:2018
va_aes_engagement,VA,2018-01-01,68.6,va-aes:2018
va_aes_engagement,VALA,2018-01-01,66.3,va-aes:2018
va_aes_engagement,VAPA,2018-01-01,71.4,va-aes:2018
va_aes_engagement,VATA,2018-01-01,68.7,va-aes:2018
va_aes_job_satisfaction,VA,2018-01-01,68.4,va-aes:2018
va_aes_job_satisfaction,VALA,2018-01-01,62.2,va-aes:2018
va_aes_job_satisfaction,VAPA,2018-01-01,75.3,va-aes:2018
va_aes_job_satisfaction,VATA,2018-01-01,69.1,va-aes:2018
va_aes_org_satisfaction,VA,2018-01-01,61.2,va-aes:2018
va_aes_org_satisfaction,VALA,2018-01-01,53.5,va-aes:2018
va_aes_org_satisfaction,VAPA,2018-01-01,70.0,va-aes:2018
va_aes_org_satisfaction,VATA,2018-01-01,61.2,va-aes:2018
va_aes_recommend,VA,2018-01-01,68.4,va-aes:2018
va_aes_recommend,VALA,2018-01-01,59.2,va-aes:2018
va_aes_recommend,VAPA,2018-01-01,72.7,va-aes:2018
va_aes_recommend,VATA,2018-01-01,68.7,va-aes:2018
va_aes_talents_used,VA,2018-01-01,64.3,va-aes:2018
va_aes_talents_used,VALA,2018-01-01,53.0,va-aes:2018
va_aes_talents_used,VAPA,2018-01-01,68.0,va-aes:2018
va_aes_talents_used,VATA,2018-01-01,64.3,va-aes:2018
va_aes_workload_reasonable,VA,2018-01-01,62.0,va-aes:2018
va_aes_workload_reasonable,VALA,2018-01-01,54.1,va-aes:2018
va_aes_workload_reasonable,VAPA,2018-01-01,64.9,va-aes:2018
va_aes_workload_reasonable,VATA,2018-01-01,64.3,va-aes:2018
va_aes_accomplishment,VA,2020-01-01,77.0,va-aes:2020
va_aes_accomplishment,VALA,2020-01-01,75.8,va-aes:2020
va_aes_accomplishment,VAPA,2020-01-01,81.8,va-aes:2020
va_aes_accomplishment,VATA,2020-01-01,77.0,va-aes:2020
va_aes_encouraged,VA,2020-01-01,66.7,va-aes:2020
va_aes_encouraged,VALA,2020-01-01,58.0,va-aes:2020
va_aes_encouraged,VAPA,2020-01-01,69.0,va-aes:2020
va_aes_encouraged,VATA,2020-01-01,66.7,va-aes:2020
va_aes_engagement,VA,2020-01-01,71.8,va-aes:2020
va_aes_engagement,VALA,2020-01-01,73.7,va-aes:2020
va_aes_engagement,VAPA,2020-01-01,73.0,va-aes:2020
va_aes_engagement,VATA,2020-01-01,71.3,va-aes:2020
va_aes_job_satisfaction,VA,2020-01-01,71.7,va-aes:2020
va_aes_job_satisfaction,VALA,2020-01-01,70.7,va-aes:2020
va_aes_job_satisfaction,VAPA,2020-01-01,73.7,va-aes:2020
va_aes_job_satisfaction,VATA,2020-01-01,71.7,va-aes:2020
va_aes_org_satisfaction,VA,2020-01-01,66.7,va-aes:2020
va_aes_org_satisfaction,VALA,2020-01-01,65.7,va-aes:2020
va_aes_org_satisfaction,VAPA,2020-01-01,68.7,va-aes:2020
va_aes_org_satisfaction,VATA,2020-01-01,66.3,va-aes:2020
va_aes_recommend,VA,2020-01-01,72.7,va-aes:2020
va_aes_recommend,VALA,2020-01-01,70.7,va-aes:2020
va_aes_recommend,VAPA,2020-01-01,73.0,va-aes:2020
va_aes_recommend,VATA,2020-01-01,73.5,va-aes:2020
va_aes_talents_used,VA,2020-01-01,66.7,va-aes:2020
va_aes_talents_used,VALA,2020-01-01,61.0,va-aes:2020
va_aes_talents_used,VAPA,2020-01-01,69.4,va-aes:2020
va_aes_talents_used,VATA,2020-01-01,66.7,va-aes:2020
va_aes_workload_reasonable,VA,2020-01-01,66.7,va-aes:2020
va_aes_workload_reasonable,VALA,2020-01-01,59.0,va-aes:2020
va_aes_workload_reasonable,VAPA,2020-01-01,66.0,va-aes:2020
va_aes_workload_reasonable,VATA,2020-01-01,67.0,va-aes:2020
va_aes_accomplishment,VA,2022-01-01,74.7,va-aes:2022
va_aes_accomplishment,VALA,2022-01-01,72.7,va-aes:2022
va_aes_accomplishment,VAPA,2022-01-01,82.7,va-aes:2022
va_aes_accomplishment,VATA,2022-01-01,74.7,va-aes:2022
va_aes_encouraged,VA,2022-01-01,66.0,va-aes:2022
va_aes_encouraged,VALA,2022-01-01,59.2,va-aes:2022
va_aes_encouraged,VAPA,2022-01-01,72.7,va-aes:2022
va_aes_encouraged,VATA,2022-01-01,66.7,va-aes:2022
va_aes_engagement,VA,2022-01-01,72.3,va-aes:2022
va_aes_engagement,VALA,2022-01-01,74.5,va-aes:2022
va_aes_engagement,VAPA,2022-01-01,76.5,va-aes:2022
va_aes_engagement,VATA,2022-01-01,71.8,va-aes:2022
va_aes_job_satisfaction,VA,2022-01-01,70.4,va-aes:2022
va_aes_job_satisfaction,VALA,2022-01-01,68.4,va-aes:2022
va_aes_job_satisfaction,VAPA,2022-01-01,75.8,va-aes:2022
va_aes_job_satisfaction,VATA,2022-01-01,69.7,va-aes:2022
va_aes_org_satisfaction,VA,2022-01-01,65.3,va-aes:2022
va_aes_org_satisfaction,VALA,2022-01-01,65.0,va-aes:2022
va_aes_org_satisfaction,VAPA,2022-01-01,71.7,va-aes:2022
va_aes_org_satisfaction,VATA,2022-01-01,63.6,va-aes:2022
va_aes_recommend,VA,2022-01-01,71.1,va-aes:2022
va_aes_recommend,VALA,2022-01-01,67.7,va-aes:2022
va_aes_recommend,VAPA,2022-01-01,74.5,va-aes:2022
va_aes_recommend,VATA,2022-01-01,71.1,va-aes:2022
va_aes_talents_used,VA,2022-01-01,66.3,va-aes:2022
va_aes_talents_used,VALA,2022-01-01,60.8,va-aes:2022
va_aes_talents_used,VAPA,2022-01-01,71.4,va-aes:2022
va_aes_talents_used,VATA,2022-01-01,66.3,va-aes:2022
va_aes_workload_reasonable,VA,2022-01-01,62.2,va-aes:2022
va_aes_workload_reasonable,VALA,2022-01-01,56.1,va-aes:2022
va_aes_workload_reasonable,VAPA,2022-01-01,62.6,va-aes:2022
va_aes_workload_reasonable,VATA,2022-01-01,63.6,va-aes:2022
va_aes_accomplishment,VA,2023-01-01,76.8,va-aes:2023
va_aes_accomplishment,VALA,2023-01-01,76.5,va-aes:2023
va_aes_accomplishment,VAPA,2023-01-01,83.7,va-aes:2023
va_aes_accomplishment,VATA,2023-01-01,76.8,va-aes:2023
va_aes_encouraged,VA,2023-01-01,68.7,va-aes:2023
va_aes_encouraged,VALA,2023-01-01,62.2,va-aes:2023
va_aes_encouraged,VAPA,2023-01-01,74.5,va-aes:2023
va_aes_encouraged,VATA,2023-01-01,68.7,va-aes:2023
va_aes_engagement,VA,2023-01-01,74.4,va-aes:2023
va_aes_engagement,VALA,2023-01-01,77.0,va-aes:2023
va_aes_engagement,VAPA,2023-01-01,78.0,va-aes:2023
va_aes_engagement,VATA,2023-01-01,73.9,va-aes:2023
va_aes_job_satisfaction,VA,2023-01-01,73.5,va-aes:2023
va_aes_job_satisfaction,VALA,2023-01-01,71.7,va-aes:2023
va_aes_job_satisfaction,VAPA,2023-01-01,77.8,va-aes:2023
va_aes_job_satisfaction,VATA,2023-01-01,73.5,va-aes:2023
va_aes_org_satisfaction,VA,2023-01-01,68.7,va-aes:2023
va_aes_org_satisfaction,VALA,2023-01-01,69.4,va-aes:2023
va_aes_org_satisfaction,VAPA,2023-01-01,74.7,va-aes:2023
va_aes_org_satisfaction,VATA,2023-01-01,68.4,va-aes:2023
va_aes_recommend,VA,2023-01-01,73.7,va-aes:2023
va_aes_recommend,VALA,2023-01-01,72.4,va-aes:2023
va_aes_recommend,VAPA,2023-01-01,78.6,va-aes:2023
va_aes_recommend,VATA,2023-01-01,74.5,va-aes:2023
va_aes_talents_used,VA,2023-01-01,68.8,va-aes:2023
va_aes_talents_used,VALA,2023-01-01,63.9,va-aes:2023
va_aes_talents_used,VAPA,2023-01-01,71.4,va-aes:2023
va_aes_talents_used,VATA,2023-01-01,68.7,va-aes:2023
va_aes_workload_reasonable,VA,2023-01-01,65.0,va-aes:2023
